Date,Closing Price
"Nov 10, 2023",214.65
"Oct 31, 2023",214.65
"Sep 30, 2023",200.84
"Aug 31, 2023",250.22
"Jul 31, 2023",258.08
"Jun 30, 2023",267.43
"May 31, 2023",261.77
"Apr 30, 2023",203.93
"Mar 31, 2023",164.31
"Mar 01, 2023",207.46
"Feb 01, 2023",205.71
"Jan 01, 2023",173.22
"Dec 01, 2022",123.18
"Oct 31, 2022",194.70
"Sep 30, 2022",227.54
"Aug 31, 2022",265.25
"Jul 31, 2022",275.61
"Jun 30, 2022",297.15
"May 31, 2022",224.47
"Apr 30, 2022",252.75
"Mar 31, 2022",290.25
"Mar 01, 2022",359.20
"Feb 01, 2022",290.14
"Jan 01, 2022",312.24
"Dec 01, 2021",352.26
"Oct 31, 2021",381.59
"Sep 30, 2021",371.33
"Aug 31, 2021",258.49
"Jul 31, 2021",245.24
"Jun 30, 2021",229.07
"May 31, 2021",226.57
"Apr 30, 2021",208.41
"Mar 31, 2021",236.48
"Mar 01, 2021",222.64
"Feb 01, 2021",225.17
"Jan 01, 2021",264.51
"Dec 01, 2020",235.22
"Oct 31, 2020",189.20
"Sep 30, 2020",129.35
"Aug 31, 2020",143.00
"Jul 31, 2020",166.11
"Jun 30, 2020",95.38
"May 31, 2020",71.99
"Apr 30, 2020",55.67
"Mar 31, 2020",52.13
"Mar 01, 2020",34.93
"Feb 01, 2020",44.53
"Jan 01, 2020",43.37
"Dec 01, 2019",27.89
"Oct 31, 2019",22.00
"Sep 30, 2019",20.99
"Aug 31, 2019",16.06
"Jul 31, 2019",15.04
"Jun 30, 2019",16.11
"May 31, 2019",14.90
"Apr 30, 2019",12.34
"Mar 31, 2019",15.91
"Mar 01, 2019",18.66
"Feb 01, 2019",21.33
"Jan 01, 2019",20.47
"Dec 01, 2018",22.19
"Oct 31, 2018",23.37
"Sep 30, 2018",22.49
"Aug 31, 2018",17.65
"Jul 31, 2018",20.11
"Jun 30, 2018",19.88
"May 31, 2018",22.86
"Apr 30, 2018",18.98
"Mar 31, 2018",19.59
"Mar 01, 2018",17.74
"Feb 01, 2018",22.87
"Jan 01, 2018",23.62
"Dec 01, 2017",20.76
"Oct 31, 2017",20.59
"Sep 30, 2017",22.10
"Aug 31, 2017",22.74
"Jul 31, 2017",23.73
"Jun 30, 2017",21.56
"May 31, 2017",24.11
"Apr 30, 2017",22.73
"Mar 31, 2017",20.94
"Mar 01, 2017",18.55
"Feb 01, 2017",16.67
"Jan 01, 2017",16.80
"Dec 01, 2016",14.25
"Oct 31, 2016",12.63
"Sep 30, 2016",13.18
"Aug 31, 2016",13.60
"Jul 31, 2016",14.13
"Jun 30, 2016",15.65
"May 31, 2016",14.15
"Apr 30, 2016",14.88
"Mar 31, 2016",16.05
"Mar 01, 2016",15.32
"Feb 01, 2016",12.80
"Jan 01, 2016",12.75
"Dec 01, 2015",16.00
"Oct 31, 2015",15.35
