,Model,Year,Fuel Type,City MPG,Highway MPG,Combined MPG,Annual Fuel Cost,Annual Consumption (Barrels),Highway Electricity Consumption,City Electricity Consumption,Combined Electricity Consumption,Vehicle Class,YouSaveOrSpend,AlternativeVehicleType
3,Acura 3.2Tl,2000,Premium,17.0,27.0,20.0,3400.0,14.8755,0.0,0.0,0.0,Midsize Cars,-7500.0,
7,Acura 3.5Rl,2000,Premium,16.0,22.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Midsize Cars,-9250.0,
22,Acura Integra,2000,Regular,21.67,28.0,23.67,2466.67,12.5759,0.0,0.0,0.0,Subcompact Cars,-2833.33,
66,Acura Nsx,2000,Premium,15.0,22.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Two Seaters,-9250.0,
246,Aston Martin Db-7 Vantage Coupe,2000,Premium,10.0,17.0,12.0,5650.0,24.7925,0.0,0.0,0.0,Minicompact Cars,-18750.0,
248,Aston Martin Db-7 Vantage Volante,2000,Premium,10.0,17.0,12.0,5650.0,24.7925,0.0,0.0,0.0,Minicompact Cars,-18750.0,
391,Audi A4,2000,Premium,18.25,26.75,21.25,3212.5,14.0972,0.0,0.0,0.0,Compact Cars,-6562.5,
414,Audi A4 Avant,2000,Premium,16.0,24.0,19.0,3550.0,15.6584,0.0,0.0,0.0,Small Station Wagons,-8250.0,
415,Audi A4 Avant Quattro,2000,Premium,16.75,24.25,19.75,3450.0,15.1464,0.0,0.0,0.0,Small Station Wagons,-7750.0,
441,Audi A4 Quattro,2000,Premium,17.0,24.5,19.75,3450.0,15.1464,0.0,0.0,0.0,Compact Cars,-7750.0,
496,Audi A6,2000,Premium,16.0,24.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Midsize Cars,-9250.0,
514,Audi A6 Avant Quattro,2000,Premium,15.0,22.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Midsize Station Wagons,-9250.0,
525,Audi A6 Quattro,2000,Premium,15.2,22.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Midsize Cars,-9250.0,
563,Audi A8 L,2000,Premium,15.0,22.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Large Cars,-9250.0,
582,Audi A8 Quattro,2000,Premium,15.0,22.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Midsize Cars,-9250.0,
746,Audi S4,2000,Premium,15.0,22.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Compact Cars,-9250.0,
876,Audi Tt Coupe,2000,Premium,19.0,29.0,23.0,2950.0,12.9352,0.0,0.0,0.0,Minicompact Cars,-5250.0,
886,Audi Tt Coupe Quattro,2000,Premium,18.0,26.0,21.0,3250.0,14.1671,0.0,0.0,0.0,Minicompact Cars,-6750.0,
954,Bentley Arnage,2000,Premium,10.5,15.0,12.0,5650.0,24.7925,0.0,0.0,0.0,Midsize Cars,-18750.0,
971,Bentley Azure,2000,Premium,10.0,15.0,12.0,5650.0,24.7925,0.0,0.0,0.0,Subcompact Cars,-18750.0,
1038,Bentley Continental R,2000,Premium,10.0,15.0,12.0,5650.0,24.7925,0.0,0.0,0.0,Compact Cars,-18750.0,
1041,Bentley Continental Sc,2000,Premium,10.0,15.0,12.0,5650.0,24.7925,0.0,0.0,0.0,Subcompact Cars,-18750.0,
1052,Bentley Continental T,2000,Premium,10.0,15.0,12.0,5650.0,24.7925,0.0,0.0,0.0,Subcompact Cars,-18750.0,
1155,Bmw 323Ci,2000,Premium,17.5,25.5,20.0,3400.0,14.9128,0.0,0.0,0.0,Subcompact Cars,-7500.0,
1156,Bmw 323I,2000,Premium,17.33,25.67,20.0,3400.0,14.9004,0.0,0.0,0.0,Compact Cars,-7500.0,
1157,Bmw 323I Convertible,2000,Premium,16.5,22.5,18.5,3650.0,16.0934,0.0,0.0,0.0,Minicompact Cars,-8750.0,
1158,Bmw 323I Touring,2000,Premium,17.5,25.5,20.0,3400.0,14.9128,0.0,0.0,0.0,Small Station Wagons,-7500.0,
1194,Bmw 328Ci,2000,Premium,17.0,25.5,20.0,3400.0,14.9128,0.0,0.0,0.0,Subcompact Cars,-7500.0,
1211,Bmw 328I,2000,Premium,17.0,25.33,20.0,3400.0,14.9004,0.0,0.0,0.0,Compact Cars,-7500.0,
1466,Bmw 528I,2000,Premium,16.67,24.67,19.67,3450.0,15.1613,0.0,0.0,0.0,Compact Cars,-7750.0,
