,Station Name,City,State,Network,Pricing,Open Date
286,Marsh Street Parking Structure,San Luis Obispo,CA,Non-Networked,Free,2000-04-15
87,Home Depot,San Luis Obispo,CA,Non-Networked,Free,2000-04-15
88,San Luis Obispo Promenade - Bed Bath & Beyond,San Luis Obispo,CA,Non-Networked,Free,2000-04-15
28,California State University - Northridge,Northridge,CA,Non-Networked,Free,2002-01-15
29,California State University - Northridge,Northridge,CA,Non-Networked,Free; parking is $8 per day.,2002-01-15
30,California State University - Northridge,Northridge,CA,Non-Networked,Free,2002-01-15
25,Japan Center Garage,San Francisco,CA,Non-Networked,Free,2002-01-31
26,Palace Hotel,San Francisco,CA,Non-Networked,$7 per session,2002-01-31
27,Mark Hopkins InterContinental Hotel,San Francisco,CA,Non-Networked,Free,2002-01-31
6150,Lake Casitas Municipal Water District - Recreational Area,Ventura,CA,Non-Networked,Free,2002-02-20
36,City of Glendora - City Hall,Glendora,CA,Non-Networked,Free,2002-04-30
42,Home Depot,Newbury Park,CA,Non-Networked,Free,2002-05-15
41,Brea Downtown Parking,Brea,CA,Non-Networked,Free,2002-05-30
40,California State University - Channel Islands,Camarillo,CA,Non-Networked,Free; $6 for parking day pass for non-permit holders,2002-05-30
44,San Dimas Park & Ride,San Dimas,CA,Non-Networked,Free,2002-05-30
45,City of Pasadena - El Molino Lot,Pasadena,CA,Non-Networked,Free; parking fee,2002-05-30
43,Lake Casitas Municipal Water District - Recreational Area,Oak View,CA,Non-Networked,$20 parking fee,2002-05-30
39,Westfield MainPlace Mall,Santa Ana,CA,Non-Networked,Free,2002-05-30
48,Pacific View Mall,Ventura,CA,Non-Networked,Free,2002-05-30
64,El Dorado County Government Center,Placerville,CA,Non-Networked,Free,2004-05-15
51,Sutter Galleria Mall - University of California - Davis Extension,Sacramento,CA,Non-Networked,Free,2004-05-30
55,Mosquito Road Park and Ride,Placerville,CA,Non-Networked,Free,2004-05-30
50,Fair Oaks - Orangevale - Community Library,Fair Oaks,CA,Non-Networked,Free,2004-06-01
49,University of California - Davis Extension - Lot 80,Davis,CA,Non-Networked,Parking fee,2004-06-01
61,City of Vacaville - City Hall,Vacaville,CA,Non-Networked,Free,2004-06-15
56,City of Vacaville - Cultural Center,Vacaville,CA,Non-Networked,Free,2004-06-15
57,Stars Recreation Center,Vacaville,CA,Non-Networked,Free,2004-06-15
58,City of Vacaville - Regional Transport Center,Vacaville,CA,Non-Networked,Free,2004-06-15
60,KUIC Radio - Parking Lot,Vacaville,CA,Non-Networked,Free,2004-06-15
